account_id,archetype,is_fraud
ACC-10096,MULE_L1_AGGREGATOR,True
ACC-MULE-L2-01,MULE_L2_DISPERSION,True
ACC-MULE-L2-02,MULE_L2_DISPERSION,True
ACC-MULE-L2-03,MULE_L2_DISPERSION,True
ACC-VIC-A01,VICTIM,True
ACC-VIC-A02,VICTIM,True
ACC-VIC-A03,VICTIM,True
ACC-VIC-A04,VICTIM,True
ACC-VIC-A05,VICTIM,True
ACC-VIC-A06,VICTIM,True
ACC-VIC-A07,VICTIM,True
ACC-VIC-A08,VICTIM,True
ACC-VIC-A09,VICTIM,True
ACC-VIC-A10,VICTIM,True
ACC-VIC-B01,VICTIM,True
ACC-LAY-MULE-A,MULE_L1_AGGREGATOR,True
ACC-LAY-MULE-B,MULE_L2_DISPERSION,True
ACC-LAY-MULE-C,MULE_L2_DISPERSION,True
ACC-LAY-SINK-01,CASH_OUT_SINK,True
ACC-VIC-C01,VICTIM,True
ACC-DISP-SINK-01,CASH_OUT_SINK,True
ACC-DISP-SINK-02,CASH_OUT_SINK,True
ACC-DISP-SINK-03,CASH_OUT_SINK,True
ACC-VIC-D01,VICTIM,True
ACC-MULE-L2-04,MULE_L2_DISPERSION,True
ACC-MULE-L2-05,MULE_L2_DISPERSION,True
ACC-ATO-SINK-01,CASH_OUT_SINK,True
ACC-MULE-L1-02,MULE_L1_AGGREGATOR,True
ACC-MULE-L2-06,MULE_L2_DISPERSION,True
ACC-MULE-L2-07,MULE_L2_DISPERSION,True
FCC_001,NORMAL_MERCHANT,False
FCC_002,NORMAL_MERCHANT,False
FCC_003,NORMAL_MERCHANT,False
FCC_004,NORMAL_MERCHANT,False
FCC_005,NORMAL_MERCHANT,False
FCC_006,NORMAL_MERCHANT,False
FCC_007,NORMAL_MERCHANT,False
FCC_008,NORMAL_MERCHANT,False
FCC_009,NORMAL_MERCHANT,False
FCC_010,NORMAL_MERCHANT,False
FCC_011,NORMAL_MERCHANT,False
FCC_012,NORMAL_MERCHANT,False
FCC_013,NORMAL_MERCHANT,False
FCC_014,NORMAL_MERCHANT,False
FCC_015,NORMAL_MERCHANT,False
FCC_016,NORMAL_MERCHANT,False
